"Dr. Richard H. Linton has been named the 15th President of Kansas State University by the Kansas Board of Regents.

We welcome the Linton family to #KState and look forward to a promising future.",12/2/2021 11:06,"Congratulations
President Linton! We are all rooting for you. Welcome to the family.",Welcome Dr. Linton. Purple looks good on you!,Congrats Dr. Linton! Excited to have a land-grant alumnus leading our alma mater!,Welcome to KSU and Manhattan!,WOW! From my current university NC State University to my alma mater! Congrats Dr. Linton::: we will miss you at NCSU::: but I hope you fall in love with Kansas State University and Manhattan!,"Congratulations
and welcome to the #Family! 💜",Looks like a great choice!,"Congratulations
👏 👏!",Welcome to KSU,Welcome to Manhattan and KSU !,"Congratulations
and welcome to K-State!","Congratulations
Mr. President","Congratulations
Dr. Linton! All the best.","KANSAS ST. vs SOUTH CAROLINA
📺Watch live : http://
knoketv.realunit
edsports.com/
ncaa.php",Another old white man. That is surprising.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"☀️ vs. 🌕

First 📸: Colleen Fulton.",11/12/2021 18:53,Beautiful!,Beautiful Campus!!,"Kansas State vs. Iowa State
Live On :
http://
cbs-global.vipsp
ort4k.com/
ncaa.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-State Alerts: The area near Denison and the Engineering Complex::: including the A28 parking lot::: has been cleared.,11/11/2021 16:57,"🏐NCAA WOMEN VOLLEYBALL 🏐
KANSAS ST. vs IOWA ST.
Live on▶️ :http://
stonertv.com/
ncaa.php",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-State Alerts: Due to a vehicle and pedestrian accident::: please avoid the area of Denison Ave. near the Engineering Complex and parking lot A28. Updates as available.,11/11/2021 15:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veterans::: thank you for your service.

Memorials on the K-State campus are dedicated to students::: faculty::: staff and alumni who have served our country.
k-state.edu/about/history-traditions/memorials/",11/11/2021 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"K-State researchers are diving into big questions. Why should we analyze misinformation? What are ways to balance park experiences with natural and cultural resources? How can public health programs help communities?

Find these answers and more in the fall 2021 edition of Seek::: the K-State research magazine. k-state.edu/seek",11/11/2021 0:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"City of Manhattan::: Kansas - Municipal Government
November 10 at 10:51 AM ·

Rain is headed our way today but pretty soon it's going to be ❄️❄️❄️! Are you prepared for winter weather? The U.S. National Weather Service (NWS) has tons of good advice and useful information at https://www.weather.gov/safety/winter",11/10/2021 17:08,"I keep a roll of toilet paper in the glove box. One of those things that's ""better to have and not need.""",Lainie Cowan,But no approved face covering?! Why don’t you care about my health?!,Helen Latroy,When is the best time to pick my green home grown tomatoes?,Helen Latroy,I have over 40 tomatoes::: my Vines are okay but the snow had frozen the leaves on Friday. Trying to save until Thanksgiving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas State University::: a place for you to grow. Join the next generation of change-makers at k-state.edu/apply.

Fall 2022 freshmen should apply by Dec. 1 to maximize scholarship opportunities.",11/9/2021 21:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pat Bosco::: former vice president of student life and dean of students::: retired in 2019 after five decades of service. In retirement::: he started Boscology 101::: a podcast about authentic leadership. Listen at boscology101.libsyn.com or on your favorite podcast app.

BOSCOLOGY101.LIBSYN.COM
Boscology 101",11/8/2021 17:14,"There’s a reason my daughter followed my footsteps—she remembers her tiny years on campus being filled with so much love and wonderful people—to include “Doctor Mister Pat.”

Dr. Bosco::: if you see this::: know she’s a brand-new Freshman and the kind of Wildcat we can all be proud of!!

#Family
💜🤍💝🤍💜",Great man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every step you take is one step closer to achieving your career goals. Discover your passion at www.k-state.edu/academics/.,11/5/2021 22:27,I have taken that step and thank you K State for giving me the opportunity.,"Kansas State at Kansas
📲 LIVE MATCH :
http://
real-livestream.
buffstream4k.co
m/ncaaf.php","Kansas St. vs Kansas
NCAA Football 🏈🇺🇸
Watch On 📺 > http://
ediko.realunited
sports.com/
ncaaf.php
All Access With Video Replays Ended Every Game
📢: Enjoy watching","#GAMEDAY!!
Kansas vs Kansas State LIVE STREAMING® (2021)
#Matcday #NCAA #Date:: 6/11/2021 #Time:: 11:00:00 #American Football #USA
Link-TV ’SᴛʀᴇᴀᴍɪɴG’ ➤➤ https://is.gd/
PJWWi6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ascension Via Christi in Manhattan
November 3 at 1:00 PM ·

We are proud to team up with our local health leaders to promote vaccinations in our community. We are working together to encourage everyone to get the COVID-19 vaccine.

We all want things to get back to normal and we have the power to do that::: say physicians::: nurses and other clinicians in a newly created video.

For their sake and for yours and your loved ones::: get vaccinated!

Riley County EMS Riley County Health Department Kansas State University Lafene Health Center Inspire ENT & Pulmonology Pediatric Associates of Manhattan Wamego Health Center & Wamego Family Clinic",11/5/2021 14:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
