Good luck to Hawkeye Katie Wadman::: current Iowa student and member of the Iowa Dance Team::: at tonight’s Miss USA pageant! In May::: Katie was crowned Miss Iowa USA and became the first Asian Pacific Islander-Filipino to be crowned Miss Iowa USA.,2021-11-29 23:38:54,Beautiful young lady inside and outside::: good luck and represent Iowa well ! ☝️❤️👍,Congrats and good luck!! Represent the great state of Iowa well!!,Good luck::: Katie::: from your parents’ section 109 friends!!,"Let me be the first Native American-German
-Scott/
Irish-Welsh to congratulate her.","Congratulations
::: she is a beautiful young lady Good luck","Congratulations
and good luck 🍀",I do not feel we need beauty pageants in this day and age,Beautiful young lady,"Congratulations
and best wishes:::","Congratulations
!",Good luck Katie! 🖤 💛 🖤,Congratulations,Best of Luck!! We have watched you every home game as well as at the rec show. You are amazing 👏,Congrats Katie,Best wishes::: Katie!,"Congratulations
. And good luck at tonight’s Miss USA. Pageant . 🌷",Good Luck Hawkeye beauty🖤💛🖤💛,Congratulations,Good luck to katie wadman,I’m not normally into pageants::: but this alum is definitely pulling for Katie!,Awesome congrats,Congrats and best of luck!,Congrats,"I pray someday soon we will quit reciting peoples’ ancestry when talking about their accomplishments
. Just another way to separate us. 😕",YAY!!!! Good luck!!!!,Best of luck young lady!,Is the parent on tv tonight ?,Good 👍 luck Katie,Congratulations,Good luck! (Just checked tv schedule and it's not on ABC::: CBS::: OR NBC... only airing on FYI network and Hulu),Congrats,Go and make difference::: congratulations,Good luck 🍀,Good luck! Gorgeous!!,She’s beautiful!,Good luck 🍀,Good luck!! 🖤💛🇺🇸💛🖤,Wish we could watch it,Beautiful!,Good luck!,KellyNik Gonzales did you see this?,Good luck,Good luck!,Good luck!,Good luck!,Goodluck 💛🖤,Good Luck!!,Good luck🖤💛,Good luck 🤞🖤💛,Vickie Oas this is so cool!!,Simone Ezekiel Trocio she's half Filipino,Jennie Tyler,Bartola Enright,Jim Somers,Maria Dominguez,Maria Dominguez,💛🖤,Linda Keck DeBuhr,Kathi Hikawa 🤔🤔,Jenny Assignment-Help,"Congratulations
::: and good luck!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of fourteen winners nationally::: The Daily Iowan has been awarded an Online Pacemaker for 2020-21::: which is considered to be the Pulitzer Prize of college journalism. https://bit.ly/3r7rKXE,2021-11-29 13:15:00,"Congratulations
to you All! Well deserved! You make IOWA Proud!",Congrats to them!!,"Congratulations
to everyone associated with The Daily Iowan!!!!",👏👏,"Congratulations
❤️🖤💛",Jacob Voge,Congrats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hawkeyes are headed to the Big Ten Championship game!! It's great to be a Hawkeye!,2021-11-27 19:34:00,Living in Ohio::: this is the best thing we could have seen today! Painful to cheer for MN but way to go Gophers! 🖤🏈💛,OMGosh! Iowa plays Michigan this coming weekend and I'm torn. I live in Michigan but LIVED IN IOWA for about 10 years AND my son was born in Iowa City! Yes I love the Hawkeyes but I also love Michigan. I'm already stressing. It should be a good game though.,Woo Hoo. It’s great to b a Hawkeye!,I always cheer for the B1G (minus Ohio::: they always have a chip on their shoulder) whenever Iowa isn’t playing. I was cheering so hard for Nebraska and Minnesota last weekend and this weekend for sure. I really thought I’d the Gophers won that Iowa would be playing Ohio State. I didn’t know Michigan had won until I saw the matchup for the B1G title game. That Michigan team is good this year. As much as I will cheer for the Hawks::: I am hoping they just don’t get slaughtered. That the D plays their best next weekend and that the special teams is as fantastic as they’ve been all year and also that the offense can actually get something going and look like a #2 team again worthy of playing in this game. I love the Hawks. Just being realistic.,Minnesota doing jump around on the field! Priceless!,"Congrats Hawkeyes.
Don't ever take for granted that you get to continue playing football at this time of the year.
-\-\-Husker fan",Go Hawkeyes I can’t wait to watch this game. Yesterday was the first time I cheered for Michigan and Minnesota. Now my Hawkeyes are going to go for the Big 10 Championship,🖤🏈💛 First time I ever cheered for Minnesota!,"Congratulations
Hawkeyes!! I'm a lifetime Buckeye fan::: born in Ohio raised in Iowa::: & living in Nebraska for over 30 years::: I'm excited to see TTUN go down at the hands of Iowa!!💛🖤",Yes Virginia there is a Santa Claus and his elves were working very hard on Saturday in Minnesota. Thank you Golden Gophers! Go Hawks!,Who said the Gophers were loafers???,Absolutely fantastic!!!!! Way to go Hawks!!!,No chance against Ohio State but they can beat Michigan,First time that I was cheering on the Gophers!! Great to be a Hawkeye fan!!,Thank you MN.. Way to row the boat and FIGHT FOR IOWA!!!!!,Woo Hoo Congrats to Iowa Hawkeyes on playing in BG10 CHAMPIONSHIP GAME!!!🏈💛🏈🖤🏈💛🖤🏈,Gophers are playing Jump Around in the stadium. Total shade!,So excited for my Iowa Hawkeyes!! Go Hawks!!!!,Going to the champ in the most Iowa way possible. Go Hawks!,"Congratulations
::: Hawkeyes - West Div Champs!!! 🖤💛🏈💪😊👏",Way to go Minnesota!!! Thanks for helping us out.,Woot woot!!! Go Hawks!!❤️,True but we have to play all 4 quarters🏈💛🖤🏈💛🖤,Love it!! Will be a tough game but trust the Hawks!!,They better bring their best or it will be a long night::: hope they make a respectable game of it.,Proud to be a Hawkeye grad. Go Hawks!,Can we take a moment to thank Minnesota Golden Gophers?. I think I can still sing the Minnesota Rouser.,Better practice against a west coast offense system…you know Harbaugh’s going to break that mess out.,Good Luck Hawkeyes!!!,Crap! The last time this happened (2015) downtown Indy ran out of beer,"Congratulations
to the Iowa Hawkeyes for being The Big Ten West champions",Better find an offense before than! Go Hawks!,I've never cheered so hard for the Gophers as I did last night! Go Hawks!!! 🖤💛🖤💛,GOOOOOO IOWA FROM LUFKIN TEXAS!!!!!🤠,Hooray for the Hawkeyes!!! Go IOWA!,Way to go MN!!,Well deserved! Love our Hawks😎,We will need a lot of pick sixes!,Let’s Go Hawks!!!!!! Good luck next week beat Michigan!!!!,It’s great to be a Hawkeye living in Nebraska😍😍,LET'S GO HAWKS!!!!,Hawkeyes forever!🏈🖤💛🏈🖤💛🏈,GOOOOO HAWKS! Thank you Minnesota! Let’s go boys!,Go Hawkeyes! Do it all…,go hawks::: play your game::: have fun and bring home a championship::: always a Hawkeye,What a crazy Saturday!!! Go Hawks!!,Thank you Minnesota!,Go hawks! Need to play lights out next week.,"Love it::: thanks Minnesota!!
Go Hawks!!🖤💛🖤💛🏈",Finally!!!!!!! We have more than earned this!!!!!!,Quite possibly the worst team to play in the Big Ten Championship game. There were four teams in the East better than Iowa. Yes::: including Penn State.,Let’s hope they know how to play the game when they get there,Ok::: so I graduated from MN but 8 years of my paycheck supported 2 kids. Go Hawks!,Never doubted the Hawks would not go,Go Hawks!,Go Hawkeyes good luck.,Go Hawkeyes,I am so proud of my Hawks👍🏈💛🖤,Go hawks! 💛🖤🏈,"Congratulations
Iowa Hawkeyes!! I can't wait to watch the game against Iowa and Michigan","Love my Hawks! Congratulations
Iowa Hawkeye Football! 🖤💛🖤🏈",Go Hawks!,Go Hawks!! So proud!! 🖤💛🏈🏈,I'm a Hawk through and through::: but I hope we haven't bit off more than we can handle?,"Great Season!!!!!!...
.Go Hawks!!!!","Congratulations
Hawks",ON IOWA!!!,Go Iowa! 🏈,GO HAWKS!!!,Yay Gophers and yay Hawkeyes!,Go Hawks,Way to go Hawkeyes!!,Way to go Hawkeyes!!!!!,Awesome go Hawkeyes,Thank you::: MN!! Let’s go Hawkeyes!! You can beat Michigan!,I’m a Michigan grad and a Iowa grad. There is no question who I will be cheering for. Hawkeyes all the way! Go Hawks!,Go Hawkeyes!,Hopefully hawks play better then they did against Nebraska. If not they’ll get killed.,Got tickets leaving Friday::: thanks Josh Kane!!!!,Go Hawks🖤💛,I love Iowa but with Michigan now ranked #2 in the country I have to root for them in this game so that they will go on to play for the National Championship. Sadly::: Iowa is too far down in the rankings to have any shot at that now. I would have loved to have seen Iowa run the table this year::: but unfortunatwly it was just not meant to be. Hopefully they will win it all next year though! GO HAWKS!!!,Go fighting Illinois an Iowa state,How bout them Hawkeyes!,Hell yes,"Congratulations
Hawkeyes!!💛🖤💛🖤💛",Yes:::me too! Was really worried they were going to lose that game!,Thank you Minnesota!!!!!,Now bring back Men’s Swimming! A storied program destroyed by Barta!,Hawks by a million! 🖤💛,How about those Gophers !,Go Hawkeyes!,Good luck Hawkeyes,Thank you Minnesota. GO HAWKS see you in Indianapolis 🖤💛🖤💛,"Congratulations
Go Hawks",Good to be a Hawkeye get it done,What is the Big Ten Championship Game🤷🏽‍♀️,Go Hawkeyes Go!!!!,Does Hawkeyes stand a chance ?,I really hope Iowa wins next week. GO HAWKEYES!!!!!,Yahoo Go Hawkeye!,Go Hawkeyes,Go Hawkeyes 🏈🏈🏈🏈🏈,"Congratulations
and Good Luck...",Let go HAWKS!!!,We're going to the ship!!!! #IowaStrong 🖤 💛,Go Hawks!,Go hawkeyes,GO Hawks GO!,How bout them Hawkeyes 😍,Go Hawks!!!!!,Go Hawks!!!!!,Thank You Minnesota!,GO IOWA!!,May our Hawkees shine in the winner's circle!!!,Yes it is?? Way to go Hawks!!,Go Hawks.,"Congratulations
Hawks",Congrats on the Axe! But you're still not cutting any bacon with it. But seriously::: thanks MN!,Yay my 2 favorites in the big 10 championship game,I will be heading there and taking lots of Iowa fans for work!,Go Hawks 🏈🏈,Go Hawks!,Go hawks!!!,Go Hawkeye!,Go Hawks 💛🖤,Go Hawkeyes!!,Go Hawks,Let's go hawks,Indy better stock up on beer!!,Go Hawks !!!💛🖤🏈🏆,Go Hawkeyes,Go hawks,Go Hawks!! 👏👏,GO HAWKS 🖤💛🏈,Yes it is. Go Iowa.,Yes it is::: GO HAWKS,From Northern MN thank you golden groundhogs and go Hawks!!!,Dean’s very pleased,Go Hawks!!!!!,We've beaten Michigan before. Harbaugh will have to do more than a Schembechler impersonation to beat us.,Let's Go Hawks!,Go Hawks,Go Hawks,Go Hawks,"Buck the Douche badgers!
Go Hawkeyes Big 10 West Champs",Let’s go Hawks!,Go Hawks!!!!!,It's great to be a Hawkeye!!,Goooooooo Hawkeyes Go,Go Hawks!,Lets go buck,Let’s bring home a Win.,Thank you Gophers,GO HAWKS,Woohoo go HAWKEYES 🏈❤🏈❤,GO HAWKS!!,Go Hawks! 12/4/21🏈,Congrats Hawkeyes 🖤💛🏈,Iowa wins the West as Badgers fall::: 23-13. GO HAWKS!!,Go hawks,About to get ran through by Michigan 🤣🤣🤣,Whoop! Whoop! GO HAWKS!!,Godf Luck Hawkeyes! 💛🖤🏈,Go Hawks !!!!,My two great grandsons.,"Congratulations
!! You are great!!",Stop the run!!,Good for them.,Goooo Hawks!!!!!,Yes now let’s go,Congratulations,Who is playing them?!? Anyone know?!,Thank you Gophers!,Valerie McGrane is this your Team Hawkeyes!,Thank you gophers ...,Thank you Gophers,WooHoo is Right!!!,"Congratulations
!",Hawkeyes ♥️♥️♥️,Iowa twenty six to six teen final.,Okay guys let's win one FRY,Let’s go!!!! 🖤💛,"Congratulations
🖤💛🖤💛",Great,Thanks to Minnesota!,Amen!,To Hawks,Yes::: it certainly is!,"Congratulations
🎉","Congratulations
🍾🎉🎊🎈",Great!,Insanely lucky but love it,For sure!!,Great!!!,That’s awesome 👏,Congrats,You're welcome. Good luck.,Yes it is.,It sure is!!,"GGGGOOOOO!!!!!!
! HHHHAAAAWWWWWKK
KKKSSSS!!!!!!!!
!!!",Yes::: yes::: it is!!!,Whoop whoop!!! ❤️,Overrated!!!!,Awesome 💛🖤💛🖤,Thanks Gophers!,Thank you Minnesota,It sure is.,I <3 <3 <3 IT!!!,Thanks Minnesota! Now screw off!,YES IT IS!!!!,Look no,"Boooooooooooooo
oo",If you’re happy::: thank a Gopher fan!,Thank you Minnesota,Bowl bids? Anything?,Woohoo!!!!!,Woohoo!!!,Heck yeah,Woohoo!!! 💛🖤💛🖤,Thank you Jesus,Yeah::: Baby!! 🖤🏈💛,YES!!!,Woot!!!,GET READY TO LOSE LIKE YOU DID IN 2016,Yay ❤️,Yeah!!,yep,Yes,Yassss!! 🖤🖤💛💛🖤🖤💛💛,Wow!,Beat Michigan!! I want a upset go Hawkeyes!! You got the defense to do it !!💪🏻,"Hope Iowa gets their
a$$e$ handed to them. Beat Iowa.",Love the gophers even more,"Good thing today:

Nothing is more valuable than time:::
If you have time then there is life and if you do not have time then there is no life.
Time is of the essence.
Surah Al-Asr is calling us:
Let us understand the importance of our life and time and live life as follows:
We have faith
Good deeds
We are bound by the saints:::
I am the one who invites goodness.
If we succeed in doing so::: then insha'Allah we will be among them.
Those who will not be deprived of the grace of Allah.",Go Hawks!!,Iowa Sucks,Right,Morgan Saner,Shelby Burdette,Molly Lecher,Susie,💛🖤,💛🖤💛🖤💛🖤💛,Alessandra Martinez,Vincent Ortega,Van Jorstad,Dave Voge,Allie Turenne 😍,Scott Lillie,🖤💛,Julie Witte Thiel,Brian Donald Farley,Jess Kerns Bedard,💛🖤💛🖤,🎉👏,Eric White,Astrid Maria Hiraldo Fuentes,💛🖤💛🖤💛,🖤💛🖤💛,🖤💛,🖤🎉💛,🖤💛🖤💛,🏈🖤💛🏈🖤💛,🖤💛🏈,Brandon Anderson,🖤💛🖤💛,❤️❤️❤️❤️❤️,🖤💛🖤💛,Scott Paulsen,🖤💛🖤💛🏈🏈,Jackie Barber,🖤💛🖤💛🖤💛🖤💛🖤💛,🏆🖤💛🏈🏆🖤💛🏈🏆,Brian Hearl,Jasmin Germovic,🖤💛🖤💛🖤💛,Don Manland,#GoHawks #ontoindy #swarm #LFG,From Ohio::: it was a great day on Friday::: but even better on Saturday::: I’m a Hawkeye no matter what::: on any given day!go Hawks!!,Good luck Hawkeyes! Beat Michigan!,Way to go Hawkeyes!!!!!!!💛🖤💛🖤💛,You better bring it because we will! Go Blue!!!!,They will be slaughtered,Yall should thank Nebraska for giving you the game friday,michigan 45 iowa 3,Awesome!!,Thank our Gophers,Congratulations,"YAY!!!!!!!!!!!!
!!!!","https://
youtu.be/
3ppy_tfgTqk","https://
youtu.be/
QLzSpaEnA64",Kent Miller,"Remember this night. Also remember this: Michigan thinks this game doesn't matter. Beating Ohio State was the defacto B1G championship. I live in Michigan surrounded by these folks.

(Saturday night has already been decided. Don't even bother showing up.)

I watched the game that night in 2015. Iowa beat us up so bad::: Alabama took advantage of it 3 weeks later. They have no idea. Make Michigan earn that bid the way my Spartans had to. Except this time::: I think you're smelling Roses at the end of the night. Good luck!",Bring on the haters,Can't wait!!!!!,THANK YOU MINNESOTA! ROW THE BOAT INDEED!,BEST BIRTHDAY PRESENT 💝 EVER,,,,,,,,,,,,,,,,,,,,
It's great to be a Hawkeye. Check out the finalists from this year's Amazing Room Contest featuring rooms from the residence halls.,2021-11-27 13:00:00,"1 guy 😆

Photos of my room from Burge (with 2 other dudes in '89-'90) would probably scare folks away from attending.",Dorm rooms sure have changed since the stone ages when I went there! #TeamBURGE,Incredible for all 👏,Awesome job every one!!’,Nice. During my dorm days there was to be nothing on our walls::: ceiling or floor. We did however draw in florescent paints on the ceiling. 💕 Don't imagine it last.,I lived in both Currier and Burge and neither of them ever looked like any of these. We were pretty basic back in the 50s!,What about closet space???,Those are all very nice. They are all winners.,wow !!!! amazeing beautiful rooms go hawkeyes!!!!!,Tessa Kathleen our rooms looked nothing like these! 😂,My room was crazy.,Debbie Dovico Sylvester,Madeleine Larson too bad they didn’t have this contest when we were there! Check out these awesome rooms!,Delaney Harbison these rooms look wayyyy different than the s**ty room you and Jordan had.,Alyson Dee Justine Long these rooms are way nicer than ours were 🤣,Kelsie Stewart,Madeline Wells,Addyson Bandow Erin Michelle Bandow,Erin Jordan Sandage how times have changed!,Few had money for stuff like this when I was in Slater Hall::: 1974-1976.,They all look amazing!,Looks beautiful,Aneesa Housel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thankful for the 7th straight Hawkeye Football win against Nebraska. Go Hawks!! Final: Iowa 28::: Nebraska 21.,2021-11-26 16:48:00,Great Comeback. The bigger story to me is when KF was interviewed end of game. Very emotional and seriously think he is going to retire end of year. That's the way I took it. I hope not!,Played with heart and determination! Great finish Hawks! 💛🖤,Quite a comeback! This team has shown true grit.,"Great comeback:::way to go Hawkeyes CONGRATULATIONS
!🏈🏈🏈",Great job Hawks you guys are awesome!👍🏈💛🖤,Thank Your Vernon Hills::: IL and Henry Marchese #13!!,The commentators said they are not a come from behind team. Well they did. Go Hawks!,Why does it have to be so nerve wracking to be a Hawkeye???,"Congratulations
to Henry Marchese for turning the game around from that blocked! 🖤💛🖤💛",Once again we QUIET the state of Nebraska.,Great game Hawks! Came from behind big time!,Great job Hawks! 💛🖤💛,Great win Hawks!!!❤️❤️,Heart Attack Hawks!,Never give ! Never::: Never::: Never !! Go Hawks !!,Great win! Nerve wracking::: but great win!!!!,"Congratulations
Iowa! Cheered on from Manila Philippines 🇺🇲❤️🇵🇭. GO HAWKS!",How about those hawks # Kinnick west go hawks,They had me concerned the first 3 quarters. Great comeback 🖤💛🏈👍,As a Nebraska fan my hat is off to a very tough and resilient Iowa team. A come from behind win from a team that plays possession football is super impressive. For those that made the trip I hope we were courteous hosts. Good win Iowa!,It was tough::: but it's a WIN!!!!,Didn't look promising heading into the 4th quarter but what a comeback.,How about my Hawkeyes!❤️❤️❤️❤️,It was a heartbreaker for Nebraska. They played their hearts out.,I couldn't watch it as I don't have BTN. So proud of the Hawks! What a great season!,Congrats Hawks! Outstanding come back & win!!,Great team win.Defense and Special Teams. And the Offense took the ball down field and scored the winning touchdown. Good to see.,"Way to come back Iowa!! Congratulations
!!",What did Yogi always say! It ain't over til it's over!!!!!!!!!,Great game. Congratulations,So thankful for Shudak this season! 💛🖤,We'll be cheering for the gophers tomorrow!!,Great to be a Hawkeye,What a 'I'm not able to sit and watch' kind of game. Way to go Hawks!💛🖤,A great win!!!!,Way to go Hawkeyes! Thank you Coaches and players🏈,So very PROUD of the IOWA HAWKS! 🏈,I'm excited that Iowa won but I couldn't watch the game this afternoon so I recorded it to watch tonight - even though I know the outcome - I will watch it tonight !!! GO HAWKS !!,And Iowa continues steak of not letting opposing team score 25 pts.,Great WIN Hawks!,Great Win!!! Proud of you::: Hawks!! 💛🖤💛🖤💛,Good job Kyler and the Hawkeyes!!!,Great win Hawks!!,Great comeback Hawks!!,Great Game!,Yes go Hawks but they played like crap the first 3/4 quarters,Great Game ! Go Hawks !,Great comeback boys!!! #IowaStrong 🖤 💛,Come on GOPHERS!!!!,"That was a ""sexy win""💛🖤💛🖤",I never gave up on em!!!! GO Hawks!!!!,Great comeback now go Minnesota 🏈🏈🏈,How bout them Hawkeyes!,Great Come back win !,Iowa Alum living in Nebraska. I gave out Husker Pacifiers to the Husker fans watching the game at my house::: because Nebraska Sucks.,Fantastic win Go Hawks!!!,"Congratulations
. What a game. Yeaaaaa.",This was unreal. Defense was awesome,Way to go Hawks!!!!,A really fun come-back—even tho I could only get it on the radio. Go Hawks!,Way to come back and get the win! Let's go Hawks!! 🖤💛🏈,A great win!!,Are you sure it wasn’t 35-21 because I still think that disallowed touchdown was a good score.,Woo Hoo - Go Hawks !!,great game,Go Hawks!,Shouldnt of been that close ! But we we won,What a game::: nail biter,Go Hawks!,Go Hawks sweet👍👍👍👍,Go Hawks🖤💛,"CONGRATULATIONS
HAWKEYES",It was a nail biter but just knew the Hawks would pull it off!!,Way to go Iowa!,Way to go Hawks::: keep it up when you hit the Bowl game!,Go Hawkeyes!,Go Hawkeyes!,It was a good game not a blow out,Way to go Hawkeyes!!!!!,Awesome come back!!,Way to go Hawks 🏈,My beloved Hawks. ❤,Thank You Farnhamville IA and Kyler Fisher #37!!,Go Hawks!,Whew::: it was too close for comfort!,Go Hawks,What a comeback!!!!! Way to go!! Whoo hoo!! 👏🏻👏🏻,Way to go::: Hawkeyes!,Way to go Hawkeyes ❤❤❤❤❤❤,WAY TO GO HAWKEYES!!!!!!!,Need to work on offense and defense for the bowl game.,At some point they have to give him coach of the year,Nebraska...the best 3 and 8 team in college football! Yea Iowa!,Where are all the Spencer Petris haters now.,Way to go. Had my doubts for awhile.,I told many people that Nebraska would be dangerous WITHOUT Martinez!!!!,Worried there at 21 - 6! 😜,What a game👏👏👏,Yesssss!!!! Love you Iowa!!!! 💛🖤💛🖤,Hell yes!!! Way to go Hawkeyes,We go Iowa there 7-0 can Nebraska yeah need fire Frost now,Good game!,Did everyone see Nebraska carry their trophy off???,What a Game::: go Hawkeyes 👏,Another scary game win but I guess a win is a win so Way to go Hawkeyes,What about those Hawkeyes “Sexy”!,Iowa beat Nebraska in Nebraskas bowl game!!!!!,What a game! 💛🖤💛🖤💛🖤,What a comeback! 🖤💛,Love My Hawks❣️❣️❣️,Attaway Hawkeyes! Playing to the last snap is what WINNERS do!,What a win for the Hawkeyes 🖤💛🖤💛,Thank you for not saying should have been. .,doing a happy dance!!!!,If Penn State can knock off Michigan State::: the Hawks might be looking at a New Year's Six bowl.,Wow::: what a game!,John Avery Stutznegger 🖤💛🏈. Iowa has been good this year.,Second half Hawkeyes,"lol barely beating a backup qb to a 3-7 team. This your big ten west representative?
?","Iowa wave. 💛🖤 Iowa rules.
In heaven there is no beer.
That's why we drink it here (Right Here!)
and when we're gone from here:::
our friends will be drinking all the beer!",Whoop whoop 🤭,Fantastic.,Never kick a gift horse in the mouth!!!,Fantastic!!,It wasn’t pretty but we’ll take it!,Go Iowa,Mike Finlayson you must very happy.,They have a ton to be thankful for....,Oh happy day !!,What 👏 a 👏 game👏!!!,WOW what a game 🖤💛🏈,Yes!🖤💛,Take that whiney fans!!!,Yeah Hawkeyes,Yes yes yes. Hawkeyes,"Nice job Iowa! I’m a Nebraska fan to the core so this loss hurts but congratulations
to the better team today! Best of luck in your bowl game!",Whew!!!🖤💛,Magnificant SHOE!,YEA IOWA!!!!!!,I can’t believe 🙌,Woohoo 🖤💛,Whew!,"Live Updates::: Highlights::: Analysis: Iowa Football Vs. Nebraska Score 👉 t.ly/Oa1p
#Iowa #Football #Nebraska #Score 👉 t.ly/Oa1p",I <3 <3 <3 IT!!!,Woot woot! 🖤💛🏈🖤💛,Yyyyeeesss!,Yes!!,An immensely satisfying win. Once again Iowa gets more with less than any program in the nation. Great coaching::: discipline::: integrity::: sportsmanship.,Love the Hawks::: but::: I hope Wisconsin wins tomorrow. Because if they have to play Ohio State in the conference championship::: it will be an absolute woodshed whoopin.,Julie Beck sorry not sorry,WOW!,Lol yall saying great win against a 3 n 9 team 🤣😂 if we had Martinez this game wouldn't be close overrated.... Ohio St will destroy yall,You can be among the poorest but you can still give others the most precious gift of all - in the form of a sincere supplication. Go on. Be sure it comes from the heart.,What a finish,Nebraska pipped in crowd sounds during the game::: nice try cheaters.,🖤💛🖤.,💛🏈🖤,🖤🏈💛,Pam Delaney.👍,🖤💛🏈,Marcia Sailer,🖤💛🖤💛,💛🖤💛🖤💛,Deion Miller 😆,💛🖤💛,💛🖤💛🖤,Tabitha Dawn Stwalley,Ronda Langworthy,🥳🥳🥳🥳,Mike Erickson,👍🏈👍🏈,🖤💛🏈,💛🖤💛🖤💛,Becca Richards,In spite of coaches' best efforts::: Hawkeyes win!,"Way to go Hawkeyes. Congratulations
💛🖤💛🖤💛🖤",Super great win,Proud to be a Hawkeye family!!!!!!!,Nice job Hawks !!!!,Offense still sucks,F Nebraska HAHAHA SUCKAS,I’m sorry Nicole Utt,Another W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Thanksgiving::: Hawkeye Nation!,2021-11-25 13:00:00,So thankful I got to choose UIowa for Grad School! It’s an online program::: but I still feel 100% connected::: welcomed::: and always Hawkeye Proud! 🖤💛🎓,Happy Thanksgiving!,Happy Thanksgiving Hawkeye nation,Happy thanksgiving,Happy thanksgiving hawk nation,Thank you IOWA for being the best University in our time.,Go Hawks!!,Pele Waddilove,Astrid Maria Hiraldo Fuentes,Jim Somers,Go Hawkeyes!!! Beat the Huskers!!!,"🔥 Grab your discount & superb papers even if deadlines are strict! It’s time to think about Christmas preparation::: not exams! 😉 https://
writepaperfor.me
/
place-new-order?
rt=kyh1QMik&dis
count=ORIGINAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At Iowa::: playwrights see their words become productions. The workshop helps students develop their unique voices and provides multiple opportunities to have their works produced. https://bit.ly/3nndBmS,2021-11-24 18:25:00,I LOVE IOWA::: & I can't wait to see myself there. What a best place to be...,Go Iowa👍👍👍👍,Look beyond your pain and see what is happening to others. What can be done to help relieve their pain and suffering? This is called compassion that should be in your heart as a human being.,...,Enough with the masks it’s so ridiculous. I’m pretty sure there’s state law prohibiting these mandates.,Nate Cohen,Triple Wow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
