That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full mood 🌝,2021-11-19 15:53:01,How beautiful!,Made me smile!!,Very cool! ❤️💙,Or moon.,Beautiful picture,Awesome!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Jayhawk who received engineering and law degrees from KU is giving back — the estate of Dean Frisbie::: who died earlier this year::: is donating $1 million to the School of Engineering and $1 million to the School of Law.  NEWS.KU.EDU KU alumnus gives $2M gift for engineering::: law schools,2021-11-17 20:00:42,Great news so long as it's not more $ going to fund petrochemical engineering or any prof's on Koch fellowships,Kind people who leave the world better than how they found it. We need more of those. Rcjh,That’s awesome! We are Kansas!,Rock Chalk Frisbee estate!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A tale of two Marvins: 🏫 The first was established in 1910. 🐿 The other just now::: when we wrote this caption.  📷: Matt Fliehler::: a second-year student studying illustration and animation at KU.,2021-11-17 17:04:06,I studied architecture in Marvin Hall in the early 60s.,Trevor Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✨ We call this business casual.,2021-11-16 17:34:02,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new $345:::000 federal grant will help KU researchers continue their work to help improve the verbal communication skills of preschoolers with autism spectrum disorder through an intervention program called “Stay. Play. Talk.”  NEWS.KU.EDU $345K grant will help KU study factors that predict success of autism intervention,2021-11-15 19:40:03,It would really be great if all that money could be spent on improving autistic children's quality of life instead of trying to get them to mimic their neurotypical peers.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state.,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Brandi Lee Roath::: pretty cool article,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
💅🏼 Lots of right angles::: not a single wrong one.,2021-11-15 16:40:12,Love my university! Such a beautiful campus!!,Nothing is out of place at Kansas!,<3,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,So 🥰 with all the different angle shots of our beautiful KU campus… ❤️💙💛,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,These are some very nice pics. Very nice work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU and K-State will use a new federal grant to host summer programs to encourage Kansas students from seventh grade through high school to consider careers in aerospace engineering::: artificial intelligence::: and computer science.  NEWS.KU.EDU Project LEAPES will fund engineering::: AI summer camps,2021-11-12 20:36:02,Is this program for Kansas students only?,Awesome! Any info yet on how students can apply for the camps?,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,EXCELLENT!!!,This is nice,Jews themselves are Anti-Semites::: Israel is an Anti-Semitic state! Jews hate Arabs-Semites::: Jews murdered Arabs-Semites!,The fierce Jayhawk needs to be used exclusively from now on for athletics::: and the nice::: happy::: Sandy version needs to be the main logo and for all academic endeavors. It's called putting on your game face!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayhawkdom comes with many perks — but only a select few of us get to pose with a mural of ourselves. Holler your heartiest “Rock Chalk” for former KU linebacker Mike Reynolds!,2021-11-12 17:11:06,Rock Chalk::: Mike.👍🏈,Rock Chalk Jayhawk!,What does this have to do with climate science?,Dude stop using my fb acct as yours .You are such a fool for using my fb account and change my profile picture,Rock Chalk!,Rock Chalk!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taste any good books lately? The concept of taste — as applied to literature — can be traced back more than four centuries to an aphorism by Francis Bacon::: according to Jonathan Lamb::: a KU associate professor of English.  NEWS.KU.EDU Tracing the concept of good taste,2021-11-11 19:20:02,"Talk of taste and add in ""Bacon"" and ""Lamb"" :-)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Along KU’s Memorial Drive::: monuments honor Jayhawk service members we have lost. This Veterans Day::: join us in thanking them and all other Jayhawks who serve or have served.,2021-11-11 19:17:44,🇺🇸❤️,Awesome,Top fan Eric Andreas,R RHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
