"More than 700 employees and more than 600 students live in areas that were evacuated due to the recent fires in Boulder County. In all::: nearly 1:::000 structures were lost::: including the homes of dozens of CU Boulder students::: faculty and staff::: and reports of other damages are expected to rise.  Campus leaders made the difficult decision to begin the spring semester with fully remote instruction considering the fact that so many staff and faculty members are facing challenges such as managing illness::: securing housing::: working with insurance companies::: helping others in the community::: and replacing destroyed personal belongings from laptop computers to cars.  ""Starting the semester in remote status::: rather than a two-week delay::: preserves spring break::: which students have indicated is integral to mental health:::"" said Executive Vice Provost Ann Schmiesing. ""Not delaying the start of the semester also preserves Maymester::: which cannot overlap with the spring semester due to federal financial aid guidelines. Maymester is an important opportunity for many students to take courses necessary for their progress toward their degrees.""  Read more about how CU Boulder responds to impacts of devastating fires::: high winds and cold snap by clicking the link below.  COLORADO.EDU CU Boulder responds to impacts of devastating fires::: high winds and cold snap",2022-01-04 12:27:02,How do the professors teach remotely without a computer or a room to do it in? And what about the students with no home who might have had somewhere safe to go if you had opened up the residence halls and welcomed them back? This decision makes no sense.,😔😔😔😔🙏🙏🙏🙏🙏,It is so sad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""As we near the beginning of the semester::: we ask our campus community to act with compassion:::"" Chancellor DiStefano. ""For anyone in our community affected by this disaster::: please know that CU Boulder stands with you.""  As this recovery begins::: we have decided to begin the spring term on Monday::: January 10 with fully remote instruction for the first two weeks of the semester. We are encouraging all students who live off-campus to delay their return to Boulder::: if possible. Faculty and staff are also encouraged to work remotely during this time::: in consultation with their supervisors.  Because of the impacts of the fires::: in combination with concerns about the COVID-19 omicron variant::: the broader Boulder area is not in a position to welcome back thousands of students over the next week.  Read Chancellor DiStefano's letter in its entirety which includes more details about on and off campus housing/student fees::: academic and work accommodations::: and COVID-19 considerations by clicking the link below.  COLORADO.EDU From the Chancellor - CU Boulder to begin spring semester remotely",2022-01-01 01:35:03,Thousands of students won’t get the message and will return as usual to do online learning here. Boulder is where the parties are. I wish the letter had been written with a definitive “Do Not Return to Boulder”. We know what happens when CU students are “strongly encouraged” to do something.,Will the rec center or libraries or any other campus facilities be open to the students who are in Boulder? Thanks.,Few questions!  1. Will basketball games no longer have spectators?  2. What are freshmen suppose to do that left all their school supplies?  3. Can outdoor club sports keep practicing please you took 18 months from us already. Just because we aren’t on scholarship doesn’t mean we don’t care about our sports.  4. How do we know you will keep your order at only two weeks. We have been done this road before.,Fire DiStefano. Do not pay Spring.,Thank you to the CU Boulder administration for wise and compassionate leadership during this difficult time. #shouldertoshoul der,Can you welcome our full tuition however for services not rendered ?,How does remote learning and not returning to campus help this situation?,So heartbreaking,For students who do not return to the dorms until Jan 23 - how will they get their books in order to be able to start online classes?,Manuel Da Costa Viana V 🥺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU Boulder is more than a place. It is all of you::: wherever you are::: a worldwide community of Buffs. And when that community is in need::: we all come together to lend a hand.  If you'd like to help those impacted by the fires::: please visit: https://bit.ly/3eHgUjE  COLORADO.EDU We Are Buffs Together,2021-12-31 17:54:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We are heartbroken to see Thursday’s fires impact so many people in our region::: likely including hundreds of CU Boulder faculty::: staff and students.  We are encouraging faculty::: staff and students impacted to reach out to support services as needed.  We are evaluating ways to best support members of our campus community for the recovery ahead::: including emergency funds.  Chancellor DiStefano addressed the campus community this evening outlining available resources. To read his letter in its entirety::: click the link below.  COLORADO.EDU Office of the Chancellor - Resources and support for those affected by Dec. 30 fires,2021-12-31 02:45:02,Stay safe Boulder!,volunteering options will be posted on Buffs Together? University of Colorado Boulder,🙏,Thank you University of Colorado Boulder! #bouldercountyst rong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID was top of mind for Laura-Elena Porras-Holguin when she graduated on December 16. The virus deeply impacted her family::: but also motivated her to finish her senior thesis and solidified her desire to pursue a master’s degree in public health. Laura-Elena finished her classes in May::: defended her thesis in July::: and currently works as an enrollment specialist in a nonprofit clinic in Littleton that helps undocumented families navigate the health care system. Learn more about her ⤵  COLORADO.EDU Magna cum laude graduate inspired by family::: immigrant experience,2021-12-29 14:47:03,Such critical and important work! I love to hear about more of us doing it!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meet Antonio Vigil::: who earned a degree in physics! He has been named the College of Arts and Sciences’ outstanding graduate for fall 2021 🎓  COLORADO.EDU From electrons to Tolstoy::: grad focuses on ‘biggest questions’,2021-12-27 15:08:03,Bravo 👏,👏 👏 👏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-U Next Year::: Buffs! From today (December 24) through January 3::: campus will have reduced services and operations to allow for our staff and faculty to have a break and time to recharge.  Our social media team will also be taking a break. We have scheduled content and will be monitoring for emergencies but general engagement will be low and response times delayed.  For frequently requested resources ➡️ https://bit.ly/3H9LvCN  COLORADO.EDU Reduced campus services::: operations Dec. 24–Jan. 1,2021-12-24 14:26:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORADO.EDU CUPD makes arrest following on-campus grass fire  University of Colorado Police Department December 23::: 2021 at 4:45 PM ·  The University of Colorado Police Department (CUPD) on Thursday afternoon arrested a female suspect on charges of second degree arson and reckless endangerment following a grass fire on the university’s East Campus.  For more: https://bit.ly/3eiCXNt,2021-12-23 23:48:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At more than 140 years old::: 110 feet tall and 19 feet in circumference at the base of the trunk::: the ""Old Main Cottonwood"" has outlived and outgrown all other on-campus cottonwoods that were planted at the end of the 19th century.   Purchased in 1879 with a one-year warranty::: most recent examinations of the tree have indicated a likely steady decline and potential safety risks increasing in coming months if the tree is not removed.  However::: this won't be the last we'll see of the beloved Cottonwood.   With its above-average age and height::: it is an ideal candidate for cloning; cuttings were taken and rooted in 2014. There are now four six-foot scions in the campus greenhouse that will be planted in the coming years to help preserve the tree’s legacy.  Learn more about the ""Old Main Cottonwood"" ➡ https://bit.ly/3ErR7Xc",2021-12-23 13:09:07,This is really sad. I was the crane operator that helped in the removal of dead and decaying branches off this beautiful old tree over the winter break last year. Such a beautiful tree. 😥,How sad. Such a beautiful tree 🌲,I'll miss this beautiful tree. I've eaten many a lunch while nestling up at its base.,"In the pre cell phone era. We met at ""the tree."" Very 😔",Use @Stone and Cottonwood in Lafayette to make some really nice conference tables out of this old gal!,Hopefully they make some great pieces of furniture from her after they take her down.,Senescence is probably a primary cause for concern on many campuses::: right now. The persistent drought cycle indicates removal and replacement with native tree species. Recycle the bucked up wood. Use the sawdust from the stump grinding for horticultural purposes. Make a cross sectional history of it's tree rings. Appreciate the arboreal giants that are still with us. Some marvelous specimens on the Anshutz campus.,“Potential safety risks increasing in coming months…?” Who decided that?! Let the tree LIVE!!! What? You think it will spread COVID? The tree won’t hurt anyone. It won’t fall over on anyone and no branches will break off injuring anyone. Let the tree LIVE!!!,Maybe make some benches or something from the wood?,I hope they will use the wood to make something that will stay on campus.,Tree art please::: not total destruction.,Don’t cut it! Cut off the old branches!,Please Leave the base of the tree and get a local artist to carve it into some beautiful sculpture art!,I thought that was an angel at the base of it,Mack Johnson,Pamela Korbely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today::: CU Boulder COO Patrick O’Rourke and Provost Russell Moore provided an update regarding our plans for Spring 2022. As we continue to monitor COVID-19 conditions::: campus leadership recognizes that many in our community have questions about whether the omicron variant of COVID-19 will impact the university’s spring semester operations. Our January 10 start to the spring semester remains set::: with the vast majority of classes being offered in person as planned. Read the update in its entirety: https://bit.ly/3pmZnDq  COLORADO.EDU From the Provost and COO - Spring semester COVID-19 update,2021-12-22 19:44:03,Thank you for this! Our kids need classes to be in person! It is critical to their mental health and their learning. With a high vaccination rate::: boosters and masking::: we can get through this latest wave while still holding classes in person.,Please don’t do online again! Our students and faculty are at 90% plus vaccination rate for a reason! This is not affecting them more than cold symptoms. It’s not fair to them when they’ve done everything they’re supposed to do to have a normal experience. Keep in person please!,All classes should be in person and masks should be optional. You won't a get a cent from me until that is the policy. I am glad you are doing in person classes; that is at least a start.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Dec. 24::: NASA - National Aeronautics and Space Administration is set to launch its next flagship mission into space. The spacecraft::: called the James Webb Space Telescope::: brings a lot of risks: Its roughly 270-square-foot mirror::: which will collect light streaming in from the far reaches of space::: will launch folded up inside a rocket::: then unfurl far from Earth. 🔭  Meredith MacGregor::: assistant professor in the Center for Astrophysics and Space Astronomy (CASA) at CU Boulder sat down with CU Boulder Today to talk about how she::: like other astronomers::: has been waiting for this launch for a long time.  Photo Credit: NASA/Chris Gunn  COLORADO.EDU New space telescope to peer back at the universe’s first galaxies,2021-12-21 19:58:33,Just watched a great documentary on the telescope.,Weather delay. “Launch is now no earlier than Dec 25 at 7:20 a.m. EST (12:20 UTC).“,Finally found the short video. It is on the Curiosity channel - series Breakthrough: Building the James Webb telescope.,This will be one of man-kinds greatest achievements!!!,John Winter oooohhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
