"Boston College will mark Veterans Day with the 21st annual Veterans Remembrance Ceremony at 11 a.m. on Thursday on the Burns Library Lawn::: where retired U.S. Navy Rear Admiral Raymond Berube ’78 will deliver the keynote remarks.

BC.EDU
Boston College Veterans Day Remembrance",2021-11-09 13:42:02,🇺🇸🇺🇸🇺🇸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston College School of Social Work's Latinx Leadership Initiative is partnering with Mass General Brigham to improve care for Latinx communities in Massachusetts.

BC.EDU
BCSSW partners with MGH on Latinx healthcare",2021-11-08 13:54:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston College History Department Professor Heather Cox Richardson is among this year's recipients of the Massachusetts Governor's Award in the Humanities.

The Mass Humanities award recognizes individuals for their public actions::: grounded in an appreciation of the humanities::: to enhance civic life in the Commonwealth. READ ON: https://bit.ly/3mkRFII",2021-11-07 15:15:14,HCR makes me so proud to be a BC alumna (and other things::: of course). But yes::: she's amazing!,"Congratulations
! So well deserved. She has been an institutional treasure and community resource beyond measure. Thank you::: HCR!",She is an amazing historian and writer. A well deserved award!!,I read her newsletters every day. She gives a historical and social perspective to current news that I find very helpful without it being boring.,"Congratulations
Heather!! We rely on your educational and informative tweets daily! Way to go and so well deserved!","Well deserved honor!!! I read her newsletters…the
y regulate the political scene:::as historically objective as we can hope for.",Never has a daily blog post been so personally and educationally significant to so many as HCR’s. She is an absolute treasure. BC needs to make sure Harvard doesn’t try to woo her across the river.,Absolutely amazing woman who kept me informed (and sane) over the past 2 years! BC is so lucky to have this professor!,Heather’s knowledge snd ability to explain daily the intricacies of the unpredictable daily occurrences in the political turmoil of the last 18 (at least) months has been grounding for the million people that have followed her posts. She is a treasure who knows US history thoroughly and has two feet planted on the ground in calling it like it is - a trustworthy scholar and citizen!,"Congratulations
professor Richardson and job well done!

I’ll have to checkout your most recent book and podcast.

Thanks BC for posting this!","Congratulations
. Heather is very deserving of this award.","Congratulations
! So deserving! 👏🏻","She’s amazing! Congratulations
to HCR!","Congratulations
! I’ve been devoted to her newsletters before I even knew that she is a BC professor. I’m a parent of a class of 2024 student and I hope he gets to take a class with her while he’s there.",Well deserved.,She is a national treasure! 🦅⭐️🦅,"Well-earned! Congratulations
!!🎉🎉",She is fantastic and a wealth of information online!,Well deserved!!!,"I’m a BC graduate 1983. I truly appreciate Ms Cox Richardson’s missives. My education at BC is one of my most treasured accomplishments
. She is an amazing essayist. Peace",She is amazing!! I read her posts almost every day. Would be amazing to take a class with her. A BC gem. 🤗,"Congratulations
! Well deserved!",HCR shed light and hope on some very dark days.... A literal life-saver. Thank you!!,Pretty cool!,"She’s got a wonderful gift that she generously and tirelessly shares. Congratulations
!","Congratulations
!",Marshall Pontrelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McMullen Museum of Art::: Boston College showcase of celebrated avant-garde painter Mariano Rodríguez::: a prolific 20th century artist whose exposure in the U.S. was cut short after the Cuban Revolution::: is featured by PBS NewsHour.

PBS.ORG
How artist Mariano Rodríguez's work honored his Cuban heritage while breaking rules",2021-11-06 14:14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""On Friday night::: Boston College Football will play the most important game of its season when it shelves its typical interlocking logo for a white uniform trimmed with a red motif.""

Tonight::: the Eagles honor Welles Remy Crowther '99 in the annual Red Bandana Game.

#ForWelles | #WeAreBC 🦅

BCEAGLES.COM
For First Time::: BC Readies To Honor Welles For A Second Time - Boston College Athletics",2021-11-05 16:04:02,Fabulous. My BC Eagle is there all decked out in her red and white bandana gear. Grateful for Welles Crowther. ❤️,Love Red Bandana day. The story behind it reflects the outstanding man he was::: that defines selflessness and kindness he showed. A true hero. So glad you win. Love the red bandanas. Should post the whole story and the people he saved. Their stories show how amazing he was. Never forget 💕 🦅 💕,"Truly grateful to be a part of this special place that’s made an incredible impact on my children ♥️♥️
#weareBC🦅",For Welles::: BC forever 🦅❤️,For Welles! Go BC! ❤️💛🦅,Great game and cause::: never ever forget or lose site of our freedoms.,Go Eagles,Come on::: eagle,I have 6 tickets for tonight’s game that are in Section R::: row 15::: as well as a parking pass for Waul House (walking distance to Alumni Stadium). Unfortunately::: cannot go now::: and would like to offer these up for sale. DM me if interested. Thanks!,A wonderful tradition.,Amazing- god bless him for his sacrifice 🇺🇸,So much fun,Go BC!,"Let’s Gooo !!
Big W",Let’s go! ❤️,"https://
www.facebook.com
/groups/
662254761429665/
?ref=share. Come join our all sports talk group::: Eagle Nation! We'd love to see you there!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“Undergraduate students become transformed in these research projects as the ideas from their classes::: whether in biology::: environmental science::: or computer science::: meet the messy reality of this world.""

BC undergrads have partnered with Boston College School of Social Work professors to conduct research that aims to improve the lives of vulnerable people around the world.

BC.EDU
Undergraduates Work with SSW Professors on Research",2021-11-05 12:47:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A service was held earlier this week in St. Ignatius Church for James F. Halpin::: a former associate dean and Carroll School of Management at BC Professor who also served as rector of the Boston College Jesuit community.

BC.EDU
In Memoriam: James F. Halpin",2021-11-04 21:36:03,"So sad 🙏🏼
Such a great guy
RIP",Fond memories of Jim when we were colleagues many years ago. Be at peace::: Jim.,So sad to hear the news. May he Rest In Peace.,Rest In Peace Professor Halpin. Thank you 🙏🏻,We pray for the repose of the soul of Mr. James Halpin.,Kathleen K. Brodie,🙏🦅❤️,🙏,RIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"'Mystērion: The Theology Journal of Boston College' features essays by students from Boston College and beyond brings a diverse array of perspectives to bear on important—and difficult—theological questions.

BC.EDU
New theology journal launches at Boston College",2021-11-04 12:52:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"“True North:::” a curriculum with a digital application::: created by Boston College Lynch School of Education and Human Development Professor Belle Liang and her research team to help students explore significant questions of their young lives::: has been incorporated into BC programs or courses.

BC.EDU
""True North"" discernment app a hit",2021-11-03 13:08:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Memoriam: Kent J. Wosepka::: who served as a part-time faculty member in the finance department at Carroll School of Management at BC from 2017-2020::: was killed after being struck by a vehicle while riding his bike with a group of cyclists in Texas this past weekend. https://on.bc.edu/KentWosepka,2021-11-02 18:22:49,Devastating news. Professor Wosepka was a great teacher! Former Partner at Goldman Sachs who brought real world views and experiences to the classroom at BC. He will be missed. Thinking of his family during this time.,I am devastated by this loss. I had him as a professor in 2017 and he was easily one of the absolute best educators I have had in any classroom in my lifetime simply due to his passion for the subject. He was an incredible human being and my thoughts are with his family during this very difficult time.,Sad to learn of this news. Kent's Fall 2017 Management of Financial Institutions course was one of my favorite courses during my MBA program. Just a couple months ago I told a current student that if Kent Wosepka still teaches then definitely take one of his courses.,This is very sad! May Kent Rest In Peace!,My condolences to his family and friends.,🙏🙏🦅 my condolences to Mr. Wosepka’s family. God Speed,May God hold Kent in the palm of His hands.,He was my finance professor::: he’s one of the best human being I’ve ever met. It’s tragic. You will be missed professor!,Rest in peace. May his memory be a blessing. I will ride tomorrow in his honor. 🚴‍♀️🦅,still can not believe he left us like this. Prof. Wosepa is an excellent teacher and talented artist. May Kent Rest In Peace,Rip 🙏,🙏,🙏,🙏🏻,Prayers for his family. 🙏🏻,This is terrible so very very sorry for your loss.,🙏🦅,🙏,RIP,My deepest condolences.,R.I.P,Marques Jackson,Very sorry for your loss.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
