"Scott Bess::: founding executive director of Purdue Polytechnic HS::: shows how persistence matters to us.

He is the one behind the revolutionary philosophies PPHS is built upon — ideas that have reinvented the high school experience. It’s just one of the reasons #Purdue is a Fast Company #BrandThatMatters. https://purdue.university/3H8zkqw",11/30/2021 18:22,a visionary,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After a weeks-long journey that began in the unnerving chaos at the Kabul airport::: a Purdue language and culture instructor helped four family members relocate from Afghanistan to West Lafayette.

The family was among the thousands of Afghan refugees who fled the country in August when the Taliban returned to power.

They left behind family::: homes and all of their belongings when they fled their home country::: but members of the Purdue community are helping them start over in the U.S.

https://purdue.university/31bRA1M
The best memories are made together. Let's enjoy time with friends and family as we cheer on Purdue Football in today's rivalry game. Whether you're at Ross-Ade Stadium or at home::: #BoilerUp and let's bring home the bucket!,11/27/2021 15:00,Go Purdue!! Beat IU!!,Boiler up Hammer down!! Beat IU!! Ps love the shirt grandma is wearing. 😁,Ed Bonnie Lewis,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We're bringing the #Boilermaker energy from last week at Wrigley Field to the Old Oaken Bucket game! 🏈 Who's ready to #BoilerUp and #HammerDown?! Time to add another ""P"" to the bucket.

Purdue Football",11/26/2021 19:00,"Top Fan
Daniel Fisk",Go Purdue! 🚂🚂🚂🚂🚂🚂🚂,Let’s go boilers!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purdue Football will seek to claim the Old Oaken Bucket — one of the oldest football trophies in the nation — at 3:30 p.m. Saturday::: Nov. 27. #Purdue #BoilerUp #HammerDown

https://purdue.university/3cJOSmN

PURDUE.EDU
Old Oaken Bucket Game",11/26/2021 15:01,Let's go Boilers! You got this!!!,Go Go Purdue Boilermakers::: You got it in you::: You can do it::: Good team work. Boiler Up! Hammer Down! finish Strong. I will be there in spirit and cheering you on in front of the Tele. My family used to go to Purdue and watch all the time especially when our kids were going to Purdue.,Let's do this!!! Boiler Up!,Go get 'em::: Guys! Get that Bucket back!! Boiler up! 💛🖤,Go Boilers!!! Bring the Bucket home!!!,"Boiler Up from Tacoma::: Washington! The real ""Black Friday""!",Boiler Up and take back the Oaken Bucket!!,Go Boilers!! 💛🖤💛🖤💛🖤💛,Boiler Up! Hammer Down! Finish Strong::: Beat IU and take home that Old Oaken Bucket. You’re going bowling::: but taking that bucket home is gonna mean more than any bowl game. You guys got this. At home. Hail Purdue!,Purdue proud. Boiler up.,Yea🖤🧡🏈,Go Purdue!!!,Boiler Up from Blue Ridge::: GA!,Go Boiler’s!!!! From Lisbon Portugal.,🚂🚂🚂🚂,The bucket is ready to come back home.,The real ga❌e kicks off in Ann Arbor at noon,Todd Fipps,"Goooooo Boilers!!
Boiler Up
Hammer Down",Great game,Dan Butler,Boiler Up Purdue!,Go Purdue!!,Go Hoosiers!,Will it be on TV if so what channel,Good,"Top Fan
Daniel Fisk",BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,Boiler Up!,BOILER UP,Boiler Up and Hammer Down!!!,Boiler UP!,Boiler Up!,Boiler up!,S/b no problem,Can’t wait to be there tomorrow 🖤💛,Bring it home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To #Boilermakers far and wide::: happy #Thanksgiving and Boiler Up!

Watch the full video: https://purdue.university/3kTFCkq

Purdue Athletics",11/25/2021 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy #Thanksgiving::: Boilermakers!,11/25/2021 15:00,Happy Thanksgiving to all Boilermaker,Happy Thanksgiving 🦃,Tracy McQuitty Uhrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Need something to listen to while traveling or baking that #Thanksgiving pie? 🥧

Check out #ThisIsPurdue to hear more about Purdue’s ultra-white paint::: which is appearing in the 2022 edition of the Guinness World Records book. The paint could dramatically reduce or even eliminate the need for air conditioning. You don’t want to miss this conversation with #Purdue professor Xiulin Ruan!

https://purdue.university/3DGpcDf",11/24/2021 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PurdueUniversity is proud to be named the #1 Public University in the state 6 years in a row. #BoilerUp and Hammer Down! 🚂⬆️ #TheNextGiantLeap,11/24/2021 15:00,This is not news. We already know this!,AWESOME NEWS THANKS EVERYONE AT PURDUE.,Best news to hear every year!,There’s another public university in the state? 🤔,🚂⬆️,Well::: yes::: of course.,🎉❤️,Eh::: not so surprising...💖,Water is wet 😉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are grateful for the risk-takers. The innovators. The #Boilermakers.

Three students of the first-ever graduating class of Purdue Polytechnic HS (PPHS) express thanks to #PurdueUniversity for building a high school experience unlike anything the world has ever seen.

Hear from Audrey::: Keante and Prem: https://purdue.university/3xbqa86

YOUTUBE.COM
To Purdue::: With Gratitude::: From PPHS Students",11/23/2021 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Togetherness matters at #PurdueUniversity — one of the things that makes us a #BrandThatMatters. Meet Kamilah Valentin-Diaz::: who has found a community of true belonging as a Latinx #Boilermaker student. Read about the organizations that made a difference in her experience.

https://purdue.university/3H8zkqw",11/23/2021 18:00,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enjoying some Stove Top Stuffing for #Thanksgiving this year? 🦃

You can thank #PurdueUniversity alumna Ruth Siems::: a 1953 home economics graduate credited with the invention of Stove Top stuffing. The product hit shelves in 1971 and quickly became a Thanksgiving staple. https://purdue.university/2Hu7L0S

PURDUE.EDU
A Purdue alumna invented this popular Thanksgiving side dish",11/23/2021 15:00,It was an Owen Hall staple every Sunday Dinner ::: along with the required tie👔👔👔👔👔👔👔👔,Sure saves oven space.😊,I never knew this!! No matter what fancy homemade stuffing ive tried::: i still prefer stove top. The taste is nostalgic.,I believe that Jiffy Cornbread was also invented at Purdue,Kathy Alberts Risch and in turn it makes best meatloaf ever,Marysia,Lexi DeNike Jim Ullom,Sera Hayden Smith 🐱🐱🐱,I believe the inventor of the chicken nugget is also a Purdue graduate.,Arika Larson Buckley!,Chuck Nagengast,Nancy Garcia ❤️,Never knew!,Jacie Kalk🥵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giant leaps are happening here.

Purdue Polytechnic High School - South Bend provides a tuition-free::: student-first education that breaks the mold of the traditional high school experience.

Discover PPHS South Bend: https://purdue.university/3FIKO2J",11/22/2021 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purdue reinvented the high school experience by creating Purdue Polytechnic HS. How? By allowing its students to reinvent themselves.

Follow three PPHS graduates – Prem::: Audrey and Keante – as you watch “PPHS First Class:::” a documentary series about the first-ever graduating class of PPHS. You’ll watch them encounter challenges and face them head on. You’ll watch them learn to communicate and collaborate. And most of all::: you’ll watch them grow into true Boilermakers.

Available now on YouTube. https://purdue.university/Keante",11/22/2021 19:00,I've been very impressed with what I've read about Purdue Polytechnic ...I believe the grads will make a difference in the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Looking for an interesting conversation starter this #Thanksgiving? 🦃

We’re sharing a new update from our #ThisIsPurdue ultra-white paint episode with Prof. Xiulin Ruan::: professor of mechanical engineering at #Purdue. In an effort to curb global warming::: Xiulin and his team created the whitest white acrylic paint. And now::: the paint has a Guinness World Records title and appears in the 2022 Guinness World Records book. Listen in as we share more about one of our most popular episodes to date!

https://purdue.university/3DGpcDf",11/22/2021 15:01,BOILER UP HAMMER DOWN TYLER STRONG CLIZ STRONG LEROY STRONG,Boiler up!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
